# Copyright (C) 2016  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.1.0 Build 196 10/24/2016 SJ Lite Edition
# File: C:\Users\mcgrewtj\Desktop\Processor.csv
# Generated on: Tue Dec 11 15:25:23 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
HEX0[0],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
HEX0[1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
HEX0[2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
HEX0[3],Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
HEX0[4],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
HEX0[5],Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
HEX0[6],Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
HEX1[0],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
HEX1[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
HEX1[2],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
HEX1[3],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
HEX1[4],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
HEX1[5],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
HEX1[6],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
HEX2[0],Output,PIN_AA25,5,B5_N1,PIN_AA25,2.5 V,,,,,
HEX2[1],Output,PIN_AA26,5,B5_N1,PIN_AA26,2.5 V,,,,,
HEX2[2],Output,PIN_Y25,5,B5_N1,PIN_Y25,2.5 V,,,,,
HEX2[3],Output,PIN_W26,5,B5_N1,PIN_W26,2.5 V,,,,,
HEX2[4],Output,PIN_Y26,5,B5_N1,PIN_Y26,2.5 V,,,,,
HEX2[5],Output,PIN_W27,5,B5_N1,PIN_W27,2.5 V,,,,,
HEX2[6],Output,PIN_W28,5,B5_N1,PIN_W28,2.5 V,,,,,
HEX3[0],Output,PIN_V21,5,B5_N1,PIN_V21,2.5 V,,,,,
HEX3[1],Output,PIN_U21,5,B5_N0,PIN_U21,2.5 V,,,,,
HEX3[2],Output,PIN_AB20,4,B4_N0,PIN_AB20,2.5 V,,,,,
HEX3[3],Output,PIN_AA21,4,B4_N0,PIN_AA21,2.5 V,,,,,
HEX3[4],Output,PIN_AD24,4,B4_N0,PIN_AD24,2.5 V,,,,,
HEX3[5],Output,PIN_AF23,4,B4_N0,PIN_AF23,2.5 V,,,,,
